authors,likes,quotes,tags
"Jessica Shattuck,",0,"“I'm not a very good [father], I'm afraid,"" Martin said. ""Ach."" Marianne waved this away. ""I'm sure you are."" Sitting here on this weather-beaten porch, with its brittle railings and the dull pounding of the sea below, he felt a gray bloom of failure. This was why he had come to see [her]. She was the gardener of this ugly flower. She knew just how to turn his face to the sun.”",['inspiration']
Nara InneresGold,0,"“AWARENESS IS THEOCEAN FLOOR,THINKING THESURFACE.SPIRITUAL SEEKERTHE DIVER,NONSEEKER THESWIMMER”","['aphorism', 'awareness', 'inspiration', 'poem', 'quotes', 'spiritual', 'spirituality', 'weisheit', 'wisdom', 'zitate']"
Freequill,0,"“If you design a compelling future, it’s easier to push yourself because your vision will pull you.”","['drive', 'future', 'goals', 'inspiration', 'motivation', 'new-years-resolutions', 'push', 'vision']"
Edwin J. Chisom,0,"“Everything been Created, were once been conveyed as a Thought. And Imagination is an Art of Creation. Dare to Imagine it, be passionate to Work it, and you may end up leaving your world with that no one ever Thought could be!”","['art', 'inspiration', 'passion', 'thought']"
Barbara Mandrell,0,"“No matter what life dishes out to you, if somebody loves you and cares about you, and you know it, then you can handle things. But if you don't feel like you have someone to care about you it's very difficult to handle life.”","['care', 'friendship', 'inspiration', 'love', 'strength']"
Freequill,0,"“Dying is a given, living is an option.”","['death', 'inspiration', 'inspirational', 'life', 'mindful', 'mindfulness', 'present-moment']"
Freequill,0,"“One of the biggest obstacles to obtaining goals is not making a plan. If you really want to achieve something, write down a plan of attack right now.”","['determination', 'drive', 'goals', 'inspiration', 'motivation', 'planning', 'positive-mental-attitude']"
"Angelos Michalopoulos,",0,"“Modern-day Ulysses does not travel in wooden ships, but on ladders made of hundred dollar bills”","['inspiration', 'self-improvement', 'self-motivation']"
"Maja Köllinger,",0,"“Das menschliche Herz ist ein Monster. Euer Körper, eure Knochen und Rippen sind nichts weiter als sein Käfig.”","['deep', 'inspiration', 'inspirational-quotes-about-life', 'romance']"
Freequill,0,"“You’ll blame your conditions, others will blame your decisions.”","['accountability', 'determination', 'drive', 'goals', 'inspiration', 'ownership']"
Adedayo Olabamiji,0,“So often the pathway or decision that’s ultimately the right one foryou is NOT the one that’s coming from your rational mind. It’s tuninginto what your intuition and heart have been trying to tell you.”,"['heart', 'inspiration', 'intuition', 'intuition-quotes', 'life', 'love', 'quotes-twitter', 'thoughts']"
Hackosam,0,"“Hustlers will never sleep and dream, But they stay awake and have their dreams”","['facts', 'facts-of-life', 'hardwork-quotes', 'hustle-quotes', 'hustlers-ambition', 'inspiration', 'inspirational-quotes', 'life-lessons', 'motivational-quotes', 'wisdom']"
Hamzah Hilam,0,“Find as much knowledge as you can. do not forget to share the knowledge that has been obtained to others”,"['inspiration', 'knowledge', 'quotes']"
Saif Rehman,0,“No limit of thinkingNo limit of abilitiesThat is the way to acheive more in life”,"['abilities', 'ability-to-succeed-in-life', 'courage', 'inspiration', 'limitless', 'motivation', 'skills', 'thinking-positive', 'training-yourself']"
Saaif Alam,0,"“An author would not compose a book that does not contain a purpose in the context of entire text. Therefore, readers should take advantage to read a fiction or nonfiction book that can educate them about a specific topic that is relevant to real life situations.”","['education', 'inspiration', 'life-philosophy']"
"Ilchi Lee,",0,"“Emotions are like waves rising on the ocean of the ind. Waves are part of the ocean, but not the ocean itself. Even an ocean whose surface is wracked by fierce wind and rain contains great calm in its depth. In the same way, a deep,bright seat of the mind lies beyond our stormy emotions.”","['control', 'emotions', 'inspiration', 'peace-quotes']"
"Deena Kastor,",4,"“I'm alone, but I'm not lonely. I like who I am. I like who I'm becoming.”","['attitude', 'emotional-health', 'inspiration', 'inspirational-quotes', 'loneliness', 'running-quotes']"
"Leslye Walton,",1,"“I knew I was different, but that didn't make me as human as anyone, or was I something else?”","['ava-lavander', 'being-different', 'different', 'inpirational', 'inspiration', 'leslye-walton', 'unique', 'uniqueness']"
"Linda Evans Shepherd,",1,“Peace is about going deeper in God. It's about trusting him and yielding our worries and fears to the Holy Spirit - who is already at work inside us. It's about placing our focus heavenward instead of fixing our focus on our struggles”,"['christian-living', 'christian-quotes', 'christianity', 'faith', 'gods-love', 'inspiration', 'peace']"
"Amit Kalantri,",1,“Inspiration works if you work.”,"['act', 'action', 'discipline', 'hard-work', 'inspiration', 'motivation', 'responsibility', 'self-help', 'taking-action', 'work']"
"Sandra Marinella,",1,"“Your personal writing can heal, grow, and transform your life. Give your words permission to change you.”","['change', 'healing', 'inspiration', 'personal-growth', 'quotes-about-life', 'transform-your-life', 'writing', 'writing-inspiration', 'writing-quotes']"
R. M. Ballantyne,1,“Men do not know how much they are capable of doing till they try”,"['adventure', 'coral-island', 'effort', 'hard-work', 'inspiration', 'inspirational-quotes', 'work']"
Saif Rehman,0,“No one is able to change your lifeOnly You are Because you are the only one Who is aware from your thinking and hidden potential”,"['inspiration', 'inspirational-quotes', 'journey-of-life', 'life', 'motivation', 'motivational-quotes', 'self-worth', 'strength', 'thinking', 'yourself']"
"Alexandra Villard de Borchgrave,",0,"“Heraclitus said, “The sun is new each day.” I hope we will use our time on earth wisely and that our troubled world will focus more on compassion, understanding, and peaceful coexistence, finding new ways to bind humanity together in love and wisdom.”","['healing', 'hope', 'inspiration', 'inspirational-quotes']"
Mokokoma Mokhonoana,0,“Comfort rarely produces great art.”,"['advice', 'art', 'artists', 'comfort', 'inspiration', 'motivation', 'pain', 'suffering', 'tips', 'uncomfortable']"
"Sandra Marinella,",0,"“Words allow us to unravel the knot inside and to make sense of our loss, not bury it within. For in our sadness and pain, we can be remade. We can learn how to understand our trauma and give it a container -- a story -- to hold it.”","['healing', 'inspiration', 'pain', 'quotes-about-healing', 'quotes-about-life', 'story', 'understanding', 'wisdom', 'words']"
Julieanne O'Connor,0,"“Those who notice the moment, stay in the moment. Those who stay in the moment notice the moment.”","['aware', 'consciousness-quotes', 'inspiration', 'inspiring-quotes', 'mindfulness', 'mindfulness-quotes', 'present', 'present-moment', 'present-moment-living']"
"Terry Tempest Williams,",0,"“This is what I have learned in these short weeks in the refuge:You cannot afford to make careless mistakes, like meditating in the presence of wolves, or topping your boots in the river, or losing a glove, or not securing your tent down properly. Death is a daily occurrence in the wild, not noticed, not respected, not mourned. In the Arctic, I've learned that ego is as useless as money. Choose one's travel companions well. Physical strength and prudence are necessary. Imagination and ingenuity are our finest traits.Expect anything.You can change your mind like the weather.Patience is more powerful than anger. Humor is attractive than fear.Pay attention. Listen. We are most alive when we are discovering.Humility is the capacity to see.We are meant to live simply.We are meant to live joyfully.Life continues with and without us.Beauty is another word for God.”","['inspiration', 'wilderness']"
De philosopher DJ Kyos,0,"“Choose to be with people who will share opportunities ,jobs ,ideas , knowledge and solutions, because problems we all have and we all know off.”","['choices', 'choose', 'encouragement', 'inspiration', 'motivation', 'philosophy', 'quotes', 'success']"
Dr. Barbara Young,0,"“I am walking in my purpose as an exhorter, an encourager, and mender of ruined houses. Translated, this means I am a woman who inspires, motivates, and helps people to restore and transform their lives.”","['dancing-on-broken-legs', 'dr-barbara-young', 'inspiration', 'inspirational-life', 'motivational-quotes-for-women']"
RVM,0,“Rain and Pain never go in Vain! They are just tests before we see GAIN.”,"['inspiration', 'motivation']"
Sharon Strand Ellison,0,"“When we use persuasion with anyone, even someone we love and respect, we reduce that person to the status of someone who needs to be manipulated.”","['inspiration', 'inspirational', 'love', 'omg']"
"Simone Weil,",0,"“It is good to reflect about whatever forces us to come out of ourselves. I have difficulty in imagining how it can be that you really have some friendship for me; but as you apparently have, it may be for this purpose.”","['friendship', 'inspiration', 'strangers']"
Steve Maraboli,0,"“Sounds cheesy, but I love that each day gives us the opportunity to experience and affect the length, depth, and breadth of life. It took me a long time and a lot of heartache to realize that no matter what our history, we have the opportunity to be better, to act better, and to live better... to whatever capacity that may mean. I love that.”","['happiness', 'inspiration', 'life', 'motivation']"
"Julio Briones,",0,“NEVER UNDERESTIMATE THE MOTIVATINGPOWER OF BEING SICK AND TIRED OF YOUR CURRENT CIRCUMSTANCES…”,"['goal-setting', 'inspiration', 'motivational-quotes', 'personal-development', 'personal-growth', 'self-help']"
